TalentFamily,TalentName,NodeID,ProgressionDepth,VisualRow,Rank,Cost,RequiredPathCost,EffectType,RawValue,DisplayedValue,MarginalGain,GainPerPoint,ParentNodeID,BuffID,PatternType,Confidence
Groupe 10 / Groupe 10 / Pénétration de défense / Pénétration de défense,Pénétration de défense 4 3/3,1110403,3,4,3,5 SkillPoint,6,ArmPen,400,400,400,NON DÉTERMINÉ,1110303,100000030,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
Groupe 10 / Groupe 10 / Taux critique / Taux de coup critique,Taux de coup critique 5 1/3,1110501,4,5,1,3 SkillPoint,9,CriticalP,500,5%,5%,1.6667,1110401,100000031,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 10 / Groupe 10 / Taux critique / Taux de coup critique,Taux de coup critique 5 2/3,1110501,4,5,2,4 SkillPoint,9,CriticalP,500,5%,5%,1.25,1110401,100000031,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 10 / Groupe 10 / Taux critique / Taux de coup critique,Taux de coup critique 5 3/3,1110501,4,5,3,5 SkillPoint,9,CriticalP,500,5%,5%,1,1110401,100000031,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 10 / Groupe 10 / Dégâts critiques / Dégâts de coup critique,Dégâts de coup critique 5 1/3,1110502,4,5,1,3 SkillPoint,9,CriDamP,500,5%,5%,1.6667,1110402,100000032,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 10 / Groupe 10 / Dégâts critiques / Dégâts de coup critique,Dégâts de coup critique 5 2/3,1110502,4,5,2,4 SkillPoint,9,CriDamP,500,5%,5%,1.25,1110402,100000032,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 10 / Groupe 10 / Dégâts critiques / Dégâts de coup critique,Dégâts de coup critique 5 3/3,1110502,4,5,3,5 SkillPoint,9,CriDamP,500,5%,5%,1,1110402,100000032,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 10 / Groupe 10 / Pénétration de défense / Pénétration de défense,Pénétration de défense 5 1/3,1110503,4,5,1,3 SkillPoint,9,ArmPen,500,500,500,NON DÉTERMINÉ,1110403,100000033,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
Groupe 10 / Groupe 10 / Pénétration de défense / Pénétration de défense,Pénétration de défense 5 2/3,1110503,4,5,2,4 SkillPoint,9,ArmPen,500,500,500,NON DÉTERMINÉ,1110403,100000033,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
Groupe 10 / Groupe 10 / Pénétration de défense / Pénétration de défense,Pénétration de défense 5 3/3,1110503,4,5,3,5 SkillPoint,9,ArmPen,500,500,500,NON DÉTERMINÉ,1110403,100000033,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
Groupe 10 / Groupe 10 / Taux critique / Taux de coup critique,Taux de coup critique 6 1/3,1110601,5,6,1,3 SkillPoint,12,CriticalP,600,6%,6%,2,1110501,100000034,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 10 / Groupe 10 / Taux critique / Taux de coup critique,Taux de coup critique 6 2/3,1110601,5,6,2,4 SkillPoint,12,CriticalP,600,6%,6%,1.5,1110501,100000034,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 10 / Groupe 10 / Taux critique / Taux de coup critique,Taux de coup critique 6 3/3,1110601,5,6,3,5 SkillPoint,12,CriticalP,600,6%,6%,1.2,1110501,100000034,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 10 / Groupe 10 / Dégâts critiques / Dégâts de coup critique,Dégâts de coup critique 6 1/3,1110602,5,6,1,3 SkillPoint,12,CriDamP,600,6%,6%,2,1110502,100000035,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 10 / Groupe 10 / Dégâts critiques / Dégâts de coup critique,Dégâts de coup critique 6 2/3,1110602,5,6,2,4 SkillPoint,12,CriDamP,600,6%,6%,1.5,1110502,100000035,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 10 / Groupe 10 / Dégâts critiques / Dégâts de coup critique,Dégâts de coup critique 6 3/3,1110602,5,6,3,5 SkillPoint,12,CriDamP,600,6%,6%,1.2,1110502,100000035,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 10 / Groupe 10 / Pénétration de défense / Pénétration de défense,Pénétration de défense 6 1/3,1110603,5,6,1,3 SkillPoint,12,ArmPen,600,600,600,NON DÉTERMINÉ,1110503,100000036,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
Groupe 10 / Groupe 10 / Pénétration de défense / Pénétration de défense,Pénétration de défense 6 2/3,1110603,5,6,2,4 SkillPoint,12,ArmPen,600,600,600,NON DÉTERMINÉ,1110503,100000036,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
Groupe 10 / Groupe 10 / Pénétration de défense / Pénétration de défense,Pénétration de défense 6 3/3,1110603,5,6,3,5 SkillPoint,12,ArmPen,600,600,600,NON DÉTERMINÉ,1110503,100000036,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
GSSkillTree / Épée / Cœur d'acier / IncreaseDamageByEquipGs / Hausse des dégâts de compétence à l'épée,Hausse des dégâts de compétence à l'épée 1/3,2150102,0,1,1,3 WeaponPoint,0,IncreaseDamageByEquipGs,2,2,2,NON DÉTERMINÉ,,200000001,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
GSSkillTree / Épée / Cœur d'acier / IncreaseDamageByEquipGs / Hausse des dégâts de compétence à l'épée,Hausse des dégâts de compétence à l'épée 2/3,2150102,0,1,2,NON DÉTERMINÉ,0,IncreaseDamageByEquipGs,2,2,2,NON DÉTERMINÉ,,200000001,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE; coût NON DÉTERMINÉ
GSSkillTree / Épée / Cœur d'acier / IncreaseDamageByEquipGs / Hausse des dégâts de compétence à l'épée,Hausse des dégâts de compétence à l'épée 3/3,2150102,0,1,3,NON DÉTERMINÉ,0,IncreaseDamageByEquipGs,2,2,2,NON DÉTERMINÉ,,200000001,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE; coût NON DÉTERMINÉ
GSSkillTree / Épée / Cœur d'acier / EnhanceSkillDamage / Charge frontale,Charge frontale,2150202,1,2,1,3 WeaponPoint,3,EnhanceSkillDamage,450,450,450,NON DÉTERMINÉ,2150102,200000002,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
GSSkillTree / Épée / Cœur d'acier / EnhanceBackDamage / Charge frontale,Charge frontale,2150202,1,2,1,3 WeaponPoint,3,EnhanceBackDamage,-750,-750,-750,NON DÉTERMINÉ,2150102,200000002,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
GSSkillTree / Épée / Cœur d'acier / Attaque / Attaque augmentée,Attaque augmentée 1/3,2150401,3,4,1,2 WeaponPoint,9,AttFR,50,0.5%,0.5%,0.25,2150302,200000004,NON DÉTERMINÉ,FORTEMENT PROBABLE
GSSkillTree / Épée / Cœur d'acier / Attaque / Attaque augmentée,Attaque augmentée 2/3,2150401,3,4,2,NON DÉTERMINÉ,9,AttFR,50,0.5%,0.5%,NON DÉTERMINÉ,2150302,200000004,NON DÉTERMINÉ,FORTEMENT PROBABLE; coût NON DÉTERMINÉ
GSSkillTree / Épée / Cœur d'acier / Attaque / Attaque augmentée,Attaque augmentée 3/3,2150401,3,4,3,NON DÉTERMINÉ,9,AttFR,50,0.5%,0.5%,NON DÉTERMINÉ,2150302,200000004,NON DÉTERMINÉ,FORTEMENT PROBABLE; coût NON DÉTERMINÉ
GSSkillTree / Épée / Cœur d'acier / Défense / Défense augmentée,Défense augmentée 1/3,2150403,3,4,1,2 WeaponPoint,9,ArmFR,100,1%,1%,0.5,2150302,200000005,NON DÉTERMINÉ,FORTEMENT PROBABLE
GSSkillTree / Épée / Cœur d'acier / Défense / Défense augmentée,Défense augmentée 2/3,2150403,3,4,2,NON DÉTERMINÉ,9,ArmFR,100,1%,1%,NON DÉTERMINÉ,2150302,200000005,NON DÉTERMINÉ,FORTEMENT PROBABLE; coût NON DÉTERMINÉ
GSSkillTree / Épée / Cœur d'acier / Défense / Défense augmentée,Défense augmentée 3/3,2150403,3,4,3,NON DÉTERMINÉ,9,ArmFR,100,1%,1%,NON DÉTERMINÉ,2150302,200000005,NON DÉTERMINÉ,FORTEMENT PROBABLE; coût NON DÉTERMINÉ
GSSkillTree / Épée / Résistance à la lame / IncreaseDamageByEquipGs / Hausse des dégâts de compétence à l'épée,Hausse des dégâts de compétence à l'épée 1/3,2151102,0,1,1,3 WeaponPoint,0,IncreaseDamageByEquipGs,2,2,2,NON DÉTERMINÉ,,200000007,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
GSSkillTree / Épée / Résistance à la lame / IncreaseDamageByEquipGs / Hausse des dégâts de compétence à l'épée,Hausse des dégâts de compétence à l'épée 2/3,2151102,0,1,2,NON DÉTERMINÉ,0,IncreaseDamageByEquipGs,2,2,2,NON DÉTERMINÉ,,200000007,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE; coût NON DÉTERMINÉ
GSSkillTree / Épée / Résistance à la lame / IncreaseDamageByEquipGs / Hausse des dégâts de compétence à l'épée,Hausse des dégâts de compétence à l'épée 3/3,2151102,0,1,3,NON DÉTERMINÉ,0,IncreaseDamageByEquipGs,2,2,2,NON DÉTERMINÉ,,200000007,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE; coût NON DÉTERMINÉ
GSSkillTree / Épée / Résistance à la lame / Précision / Précision augmentée,Précision augmentée 1/3,2151302,2,3,1,2 WeaponPoint,12,PrecisionP,50,0.5%,0.5%,0.25,"2151201,2151203",200000010,NON DÉTERMINÉ,FORTEMENT PROBABLE
GSSkillTree / Épée / Résistance à la lame / Précision / Précision augmentée,Précision augmentée 2/3,2151302,2,3,2,NON DÉTERMINÉ,12,PrecisionP,50,0.5%,0.5%,NON DÉTERMINÉ,"2151201,2151203",200000010,NON DÉTERMINÉ,FORTEMENT PROBABLE; coût NON DÉTERMINÉ
GSSkillTree / Épée / Résistance à la lame / Précision / Précision augmentée,Précision augmentée 3/3,2151302,2,3,3,NON DÉTERMINÉ,12,PrecisionP,50,0.5%,0.5%,NON DÉTERMINÉ,"2151201,2151203",200000010,NON DÉTERMINÉ,FORTEMENT PROBABLE; coût NON DÉTERMINÉ
GSSkillTree / Épée / Résistance à la lame / Pénétration de défense % / Pénétration de défense augmentée,Pénétration de défense augmentée 1/3,2151402,3,4,1,2 WeaponPoint,14,ArmPenP,25,0.25%,0.25%,0.125,2151302,200000011,NON DÉTERMINÉ,FORTEMENT PROBABLE
GSSkillTree / Épée / Résistance à la lame / Pénétration de défense % / Pénétration de défense augmentée,Pénétration de défense augmentée 2/3,2151402,3,4,2,NON DÉTERMINÉ,14,ArmPenP,25,0.25%,0.25%,NON DÉTERMINÉ,2151302,200000011,NON DÉTERMINÉ,FORTEMENT PROBABLE; coût NON DÉTERMINÉ
GSSkillTree / Épée / Résistance à la lame / Pénétration de défense % / Pénétration de défense augmentée,Pénétration de défense augmentée 3/3,2151402,3,4,3,NON DÉTERMINÉ,14,ArmPenP,25,0.25%,0.25%,NON DÉTERMINÉ,2151302,200000011,NON DÉTERMINÉ,FORTEMENT PROBABLE; coût NON DÉTERMINÉ
GSSkillTree / Dague / Plaie mortelle / Taux critique / Taux de coup critique augmenté,Taux de coup critique augmenté 1/3,2252101,0,1,1,2 WeaponPoint,0,CriticalP,25,0.25%,0.25%,0.125,,200000013,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE
GSSkillTree / Dague / Plaie mortelle / Taux critique / Taux de coup critique augmenté,Taux de coup critique augmenté 2/3,2252101,0,1,2,NON DÉTERMINÉ,0,CriticalP,25,0.25%,0.25%,NON DÉTERMINÉ,,200000013,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE; coût NON DÉTERMINÉ
GSSkillTree / Dague / Plaie mortelle / Taux critique / Taux de coup critique augmenté,Taux de coup critique augmenté 3/3,2252101,0,1,3,NON DÉTERMINÉ,0,CriticalP,25,0.25%,0.25%,NON DÉTERMINÉ,,200000013,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE; coût NON DÉTERMINÉ
GSSkillTree / Dague / Plaie mortelle / Dégâts critiques / Dégâts de coup critique augmentés,Dégâts de coup critique augmentés 1/3,2252103,0,1,1,2 WeaponPoint,0,CriDamP,25,0.25%,0.25%,0.125,,200000014,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE
GSSkillTree / Dague / Plaie mortelle / Dégâts critiques / Dégâts de coup critique augmentés,Dégâts de coup critique augmentés 2/3,2252103,0,1,2,NON DÉTERMINÉ,0,CriDamP,25,0.25%,0.25%,NON DÉTERMINÉ,,200000014,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE; coût NON DÉTERMINÉ
GSSkillTree / Dague / Plaie mortelle / Dégâts critiques / Dégâts de coup critique augmentés,Dégâts de coup critique augmentés 3/3,2252103,0,1,3,NON DÉTERMINÉ,0,CriDamP,25,0.25%,0.25%,NON DÉTERMINÉ,,200000014,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE; coût NON DÉTERMINÉ
GSSkillTree / Dague / Plaie mortelle / Taux critique / Taux de coup critique augmenté,Taux de coup critique augmenté 1/3,2252301,2,3,1,2 WeaponPoint,7,CriticalP,25,0.25%,0.25%,0.125,2252202,200000016,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE
GSSkillTree / Dague / Plaie mortelle / Taux critique / Taux de coup critique augmenté,Taux de coup critique augmenté 2/3,2252301,2,3,2,NON DÉTERMINÉ,7,CriticalP,25,0.25%,0.25%,NON DÉTERMINÉ,2252202,200000016,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE; coût NON DÉTERMINÉ
GSSkillTree / Dague / Plaie mortelle / Taux critique / Taux de coup critique augmenté,Taux de coup critique augmenté 3/3,2252301,2,3,3,NON DÉTERMINÉ,7,CriticalP,25,0.25%,0.25%,NON DÉTERMINÉ,2252202,200000016,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE; coût NON DÉTERMINÉ
GSSkillTree / Dague / Plaie mortelle / Dégâts critiques / Dégâts de coup critique augmentés,Dégâts de coup critique augmentés 1/3,2252303,2,3,1,2 WeaponPoint,7,CriDamP,25,0.25%,0.25%,0.125,2252202,200000017,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE
GSSkillTree / Dague / Plaie mortelle / Dégâts critiques / Dégâts de coup critique augmentés,Dégâts de coup critique augmentés 2/3,2252303,2,3,2,NON DÉTERMINÉ,7,CriDamP,25,0.25%,0.25%,NON DÉTERMINÉ,2252202,200000017,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE; coût NON DÉTERMINÉ
GSSkillTree / Dague / Plaie mortelle / Dégâts critiques / Dégâts de coup critique augmentés,Dégâts de coup critique augmentés 3/3,2252303,2,3,3,NON DÉTERMINÉ,7,CriDamP,25,0.25%,0.25%,NON DÉTERMINÉ,2252202,200000017,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE; coût NON DÉTERMINÉ
GSSkillTree / Dague / Plaie mortelle / Hausse des dégâts conditionnelle / Amplification de la douleur,Amplification de la douleur,2252401,3,4,1,3 WeaponPoint,9,IncreaseDamageByTargetBuff,300,3%,3%,1,2252301,200000018,NON DÉTERMINÉ,FORTEMENT PROBABLE
GSSkillTree / Dague / Plaie mortelle / EnhanceSkillDamage / Approche violente,Approche violente,2252403,3,4,1,3 WeaponPoint,9,EnhanceSkillDamage,1500,1500,1500,NON DÉTERMINÉ,2252303,200000019,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
GSSkillTree / Dague / Éviction / IncreaseDamageByEquipGs / Dégâts de compétence à la dague augmentés,Dégâts de compétence à la dague augmentés 1/3,2253101,0,1,1,3 WeaponPoint,0,IncreaseDamageByEquipGs,1,1,1,NON DÉTERMINÉ,,200000020,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
GSSkillTree / Dague / Éviction / IncreaseDamageByEquipGs / Dégâts de compétence à la dague augmentés,Dégâts de compétence à la dague augmentés 2/3,2253101,0,1,2,NON DÉTERMINÉ,0,IncreaseDamageByEquipGs,1,1,1,NON DÉTERMINÉ,,200000020,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE; coût NON DÉTERMINÉ
GSSkillTree / Dague / Éviction / IncreaseDamageByEquipGs / Dégâts de compétence à la dague augmentés,Dégâts de compétence à la dague augmentés 3/3,2253101,0,1,3,NON DÉTERMINÉ,0,IncreaseDamageByEquipGs,1,1,1,NON DÉTERMINÉ,,200000020,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE; coût NON DÉTERMINÉ
GSSkillTree / Dague / Éviction / EnhanceBackDamage / Dégâts des attaques dans le dos augmentés,Dégâts des attaques dans le dos augmentés 1/3,2253103,0,1,1,3 WeaponPoint,0,EnhanceBackDamage,150,150,150,NON DÉTERMINÉ,,200000021,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
GSSkillTree / Dague / Éviction / EnhanceBackDamage / Dégâts des attaques dans le dos augmentés,Dégâts des attaques dans le dos augmentés 2/3,2253103,0,1,2,NON DÉTERMINÉ,0,EnhanceBackDamage,150,150,150,NON DÉTERMINÉ,,200000021,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE; coût NON DÉTERMINÉ
GSSkillTree / Dague / Éviction / EnhanceBackDamage / Dégâts des attaques dans le dos augmentés,Dégâts des attaques dans le dos augmentés 3/3,2253103,0,1,3,NON DÉTERMINÉ,0,EnhanceBackDamage,150,150,150,NON DÉTERMINÉ,,200000021,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE; coût NON DÉTERMINÉ
GSSkillTree / Dague / Éviction / EnhanceSkillDamage / Attaque en embuscade,Attaque en embuscade,2253202,1,2,1,3 WeaponPoint,6,EnhanceSkillDamage,-300,-300,-300,NON DÉTERMINÉ,"2253101,2253103",200000022,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
GSSkillTree / Dague / Éviction / EnhanceBackDamage / Attaque en embuscade,Attaque en embuscade,2253202,1,2,1,3 WeaponPoint,6,EnhanceBackDamage,750,750,750,NON DÉTERMINÉ,"2253101,2253103",200000022,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
GSSkillTree / Dague / Éviction / EnhanceSkillDamage / Dégâts de Foulée de l'ombre augmentés,Dégâts de Foulée de l'ombre augmentés,2253302,2,3,1,3 WeaponPoint,9,EnhanceSkillDamage,1500,1500,1500,NON DÉTERMINÉ,2253202,200000023,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
GSSkillTree / Arc / Visée concentrée / IncreaseDamageByEquipGs / Dégâts de compétence à l'arc augmentés,Dégâts de compétence à l'arc augmentés 1/3,2254103,0,1,1,3 WeaponPoint,0,IncreaseDamageByEquipGs,3,3,3,NON DÉTERMINÉ,,200000026,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
GSSkillTree / Arc / Visée concentrée / IncreaseDamageByEquipGs / Dégâts de compétence à l'arc augmentés,Dégâts de compétence à l'arc augmentés 2/3,2254103,0,1,2,NON DÉTERMINÉ,0,IncreaseDamageByEquipGs,3,3,3,NON DÉTERMINÉ,,200000026,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE; coût NON DÉTERMINÉ
GSSkillTree / Arc / Visée concentrée / IncreaseDamageByEquipGs / Dégâts de compétence à l'arc augmentés,Dégâts de compétence à l'arc augmentés 3/3,2254103,0,1,3,NON DÉTERMINÉ,0,IncreaseDamageByEquipGs,3,3,3,NON DÉTERMINÉ,,200000026,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE; coût NON DÉTERMINÉ
GSSkillTree / Arc / Visée concentrée / Taux critique / Taux de coup critique augmenté,Taux de coup critique augmenté 1/3,2254202,1,2,1,2 WeaponPoint,3,CriticalP,25,0.25%,0.25%,0.125,2254103,200000027,NON DÉTERMINÉ,FORTEMENT PROBABLE
GSSkillTree / Arc / Visée concentrée / Taux critique / Taux de coup critique augmenté,Taux de coup critique augmenté 2/3,2254202,1,2,2,NON DÉTERMINÉ,3,CriticalP,25,0.25%,0.25%,NON DÉTERMINÉ,2254103,200000027,NON DÉTERMINÉ,FORTEMENT PROBABLE; coût NON DÉTERMINÉ
GSSkillTree / Arc / Visée concentrée / Taux critique / Taux de coup critique augmenté,Taux de coup critique augmenté 3/3,2254202,1,2,3,NON DÉTERMINÉ,3,CriticalP,25,0.25%,0.25%,NON DÉTERMINÉ,2254103,200000027,NON DÉTERMINÉ,FORTEMENT PROBABLE; coût NON DÉTERMINÉ
GSSkillTree / Arc / Visée concentrée / EnhanceSkillDamage / Tir en reculant,Tir en reculant,2254303,1,3,1,3 WeaponPoint,3,EnhanceSkillDamage,1500,1500,1500,NON DÉTERMINÉ,2254103,200000029,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
GSSkillTree / Arc / Visée concentrée / Dégâts critiques / Dégâts de coup critique augmentés,Dégâts de coup critique augmentés 1/3,2254402,3,4,1,2 WeaponPoint,8,CriDamP,25,0.25%,0.25%,0.125,2254301,200000030,NON DÉTERMINÉ,FORTEMENT PROBABLE
GSSkillTree / Arc / Visée concentrée / Dégâts critiques / Dégâts de coup critique augmentés,Dégâts de coup critique augmentés 2/3,2254402,3,4,2,NON DÉTERMINÉ,8,CriDamP,25,0.25%,0.25%,NON DÉTERMINÉ,2254301,200000030,NON DÉTERMINÉ,FORTEMENT PROBABLE; coût NON DÉTERMINÉ
GSSkillTree / Arc / Visée concentrée / Dégâts critiques / Dégâts de coup critique augmentés,Dégâts de coup critique augmentés 3/3,2254402,3,4,3,NON DÉTERMINÉ,8,CriDamP,25,0.25%,0.25%,NON DÉTERMINÉ,2254301,200000030,NON DÉTERMINÉ,FORTEMENT PROBABLE; coût NON DÉTERMINÉ
GSSkillTree / Arc / Visée concentrée / BaseStatConversionOnSkillDamage / Frappe véloce,Frappe véloce,2254503,4,5,1,3 WeaponPoint,16,BaseStatConversionOnSkillDamage,2,2,2,NON DÉTERMINÉ,"2254402,2254303",200000031,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
GSSkillTree / Arc / Visée sécurisée / IncreaseDamageByEquipGs / Dégâts de compétence à l'arc augmentés,Dégâts de compétence à l'arc augmentés 1/3,2255101,0,1,1,3 WeaponPoint,0,IncreaseDamageByEquipGs,3,3,3,NON DÉTERMINÉ,,200000032,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
GSSkillTree / Arc / Visée sécurisée / IncreaseDamageByEquipGs / Dégâts de compétence à l'arc augmentés,Dégâts de compétence à l'arc augmentés 2/3,2255101,0,1,2,NON DÉTERMINÉ,0,IncreaseDamageByEquipGs,3,3,3,NON DÉTERMINÉ,,200000032,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE; coût NON DÉTERMINÉ
GSSkillTree / Arc / Visée sécurisée / IncreaseDamageByEquipGs / Dégâts de compétence à l'arc augmentés,Dégâts de compétence à l'arc augmentés 3/3,2255101,0,1,3,NON DÉTERMINÉ,0,IncreaseDamageByEquipGs,3,3,3,NON DÉTERMINÉ,,200000032,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE; coût NON DÉTERMINÉ
GSSkillTree / Arc / Visée sécurisée / Précision / Précision augmentée,Précision augmentée 1/3,2255202,1,2,1,2 WeaponPoint,3,PrecisionP,50,0.5%,0.5%,0.25,2255101,200000033,NON DÉTERMINÉ,FORTEMENT PROBABLE
GSSkillTree / Arc / Visée sécurisée / Précision / Précision augmentée,Précision augmentée 2/3,2255202,1,2,2,NON DÉTERMINÉ,3,PrecisionP,50,0.5%,0.5%,NON DÉTERMINÉ,2255101,200000033,NON DÉTERMINÉ,FORTEMENT PROBABLE; coût NON DÉTERMINÉ
GSSkillTree / Arc / Visée sécurisée / Précision / Précision augmentée,Précision augmentée 3/3,2255202,1,2,3,NON DÉTERMINÉ,3,PrecisionP,50,0.5%,0.5%,NON DÉTERMINÉ,2255101,200000033,NON DÉTERMINÉ,FORTEMENT PROBABLE; coût NON DÉTERMINÉ
GSSkillTree / Arc / Visée sécurisée / Pénétration de défense % / Pénétration de défense augmentée,Pénétration de défense augmentée 1/3,2255402,3,4,1,2 WeaponPoint,8,ArmPenP,25,0.25%,0.25%,0.125,2255303,200000036,NON DÉTERMINÉ,FORTEMENT PROBABLE
GSSkillTree / Arc / Visée sécurisée / Pénétration de défense % / Pénétration de défense augmentée,Pénétration de défense augmentée 2/3,2255402,3,4,2,NON DÉTERMINÉ,8,ArmPenP,25,0.25%,0.25%,NON DÉTERMINÉ,2255303,200000036,NON DÉTERMINÉ,FORTEMENT PROBABLE; coût NON DÉTERMINÉ
GSSkillTree / Arc / Visée sécurisée / Pénétration de défense % / Pénétration de défense augmentée,Pénétration de défense augmentée 3/3,2255402,3,4,3,NON DÉTERMINÉ,8,ArmPenP,25,0.25%,0.25%,NON DÉTERMINÉ,2255303,200000036,NON DÉTERMINÉ,FORTEMENT PROBABLE; coût NON DÉTERMINÉ
GSSkillTree / Arc / Visée sécurisée / Hausse des dégâts / Visée sécurisée,Visée sécurisée,2255501,4,5,1,3 WeaponPoint,16,DamP,550,5.5%,5.5%,1.8333,"2255301,2255402",200000037,NON DÉTERMINÉ,FORTEMENT PROBABLE
GSSkillTree / Arc / Visée sécurisée / DamageByDistance / Visée sécurisée,Visée sécurisée,2255501,4,5,1,3 WeaponPoint,16,DamageByDistance,-1550,-1550,-1550,NON DÉTERMINÉ,"2255301,2255402",200000037,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
GSSkillTree / Arme à feu / Arme à feu - Kata / IncreaseDamageByEquipGs / Dégâts de compétence à l'arme à feu augmentés,Dégâts de compétence à l'arme à feu augmentés 1/3,2356101,0,1,1,3 WeaponPoint,0,IncreaseDamageByEquipGs,4,4,4,NON DÉTERMINÉ,,200000038,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
